

                       DRAW OF Rs.100/- 
                 STUDENT WELFARE PRIZE BOND						
			HELD AT KARACHI					
Draw No. 1st									
519839	560812	608776	646306	688619	732389	777370	820362	878134	922734	969836
520012	561891	609346	647753	689434	732936	778444	821325	879265	925006	972125
520716	563325	610087	648267	690158	733663	778654	821709	879483	926364	974424
520824	565009	611125	648281	690961	733706	780515	822360	880301	927171	975165
522108	566064	611459	652737	691312	733810	780568	823677	880904	927236	975424
523200	566538	612456	653142	693020	734070	780759	823813	881169	927341	976076
523308	566578	614613	653190	693148	735572	783616	824125	882409	927901	976380
523523	568114	615214	654004	693382	739474	783747	824862	883255	928157	976570
523596	568435	616594	654726	693511	739504	784121	825708	883917	930182	979445
524019	568652	617013	655501	694714	740323	784126	827385	886263	930357	979780
524092	570385	619352	655862	695333	741767	784881	827610	886525	930637	982055
524451	572432	620372	655892	695376	741896	785462	827980	886672	932851	982556
527617	575738	620689	656645	695939	744291	786504	828419	887353	932945	984155
527623	575891	621656	657473	697939	745667	787035	830550	887622	934194	985402
528099	575952	621891	658164	698605	745875	787372	830847	887752	934277	986204
529812	576128	622035	661198	699627	746639	787477	831591	887963	934394	987345
530176	576184	622144	661260	700159	748048	787994	831987	888500	935317	988349
531258	576350	623347	661374	700257	749044	789134	832258	890086	935779	988674
532776	577495	623458	661512	700762	750167	789914	833395	890392	936281	988777
533591	578315	623648	661711	703818	750623	789938	834267	891865	937878	988913
533780	578787	624046	662932	705153	751504	791359	834877	891936	940398	989587
534105	579084	624342	663555	705223	754458	792170	835103	892224	940823	990555
535917	580368	624455	663652	708962	754873	792963	836019	892265	941853	990929
535994	581225	625615	663773	710317	754907	793374	837511	893116	942035	991575
539473	581752	626397	664243	710598	755593	793403	839060	894328	942062	991596
540099	583048	626621	664586	712628	757610	794505	840971	897715	943027	994732
540535	583620	627534	665270	714182	758470	795423	841157	898286	943533	995112
541511	587825	627668	665858	714206	758639	795864	841733	898891	946066	995945
542429	588866	628644	666203	714640	759636	796303	842002	899648	946474	996490
542787	589672	628856	666700	715095	759687	797338	843539	899943	947464	996987
542948	589807	629823	666970	715987	761282	798519	843900	900098	948780	998147
543014	591629	630683	667436	716068	761855	798666	844937	900735	948835	XXXXXX
543145	591884	630805	667442	717060	762050	799027	848767	901290	949665	XXXXXX
543150	592912	631516	668589	717352	763043	800325	848830	901993	950512	XXXXXX
543648	594019	631744	669131	717591	764498	800531	852245	902276	950661	XXXXXX
545567	594938	631807	669509	717737	764881	801793	852612	903088	955751	XXXXXX
545663	596784	631882	669932	718577	765030	804127	856197	904952	957629	XXXXXX
546284	597705	633362	671471	719934	767106	805648	856288	905585	959212	XXXXXX
546288	598608	633744	672686	720601	767626	805737	857970	905761	959386	XXXXXX
546591	598913	634042	674361	720743	767662	805777	858264	905844	961285	XXXXXX
546804	599241	634049	674698	721575	768979	806061	861853	906397	961623	XXXXXX
547097	599527	634387	675542	721877	769322	806812	862011	906961	961630	XXXXXX